ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0       263.6662       351.8868       709.0855        10.7699          -5692.4918       715.0453         0.0000         0.0000         0.0000          -3642.0381         0.0000     -3642.0381     -3642.0381         0.0000            459.3182       116.1382   1000000.0000       459.3182       116.1382
ENERGY:       1       263.3488       351.2771       709.1957        11.0264          -5692.4100       404.8997         0.0000         0.0000         0.0000          -3952.6623         0.0000     -3952.6623     -3952.6623         0.0000            372.6317       -46.8638   1000000.0000       372.6317       -46.8638
ENERGY:       2       185.2422       321.9804       707.8680        10.3356          -5701.0945       291.8300         0.0000         0.0000         0.0000          -4183.8382         0.0000     -4183.8382     -4183.8382         0.0000            349.4451       132.4348   1000000.0000       349.4451       132.4348
ENERGY:       3       127.6836       301.5955       706.7154        10.1889          -5709.8248       248.9450         0.0000         0.0000         0.0000          -4314.6964         0.0000     -4314.6964     -4314.6964         0.0000            344.3598       123.0628   1000000.0000       344.3598       123.0628
ENERGY:       4        91.2200       289.6343       705.7246        10.5853          -5718.5636       225.8316         0.0000         0.0000         0.0000          -4395.5679         0.0000     -4395.5679     -4395.5679         0.0000            343.2390       120.4604   1000000.0000       343.2390       120.4604
ENERGY:       5        55.6073       259.7013       701.6609         7.0754          -5771.2064       178.9493         0.0000         0.0000         0.0000          -4568.2122         0.0000     -4568.2122     -4568.2122         0.0000            323.0481        95.2061   1000000.0000       323.0481        95.2061
ENERGY:       6        91.1822       267.0525       699.4182         8.2247          -5821.9704       141.2512         0.0000         0.0000         0.0000          -4614.8415         0.0000     -4614.8415     -4614.8415         0.0000            299.4285        66.6660   1000000.0000       299.4285        66.6660
ENERGY:       7       199.9293       310.2534       698.8081        13.6588          -5870.7829       110.3765         0.0000         0.0000         0.0000          -4537.7567         0.0000     -4537.7567     -4537.7567         0.0000            271.6669        33.7585   1000000.0000       271.6669        33.7585
ENERGY:       8        82.7770       264.1414       699.6048         7.8402          -5815.6553       145.5620         0.0000         0.0000         0.0000          -4615.7300         0.0000     -4615.7300     -4615.7300         0.0000            302.5978        70.4600   1000000.0000       302.5978        70.4600
ENERGY:       9        47.5579       244.3196       698.5240         6.8673          -5849.1012       131.7555         0.0000         0.0000         0.0000          -4720.0770         0.0000     -4720.0770     -4720.0770         0.0000            312.0277        78.4073   1000000.0000       312.0277        78.4073
ENERGY:      10        95.8985       245.8008       697.7560         6.3338          -5881.9150       119.1597         0.0000         0.0000         0.0000          -4716.9663         0.0000     -4716.9663     -4716.9663         0.0000            316.7039        80.9901   1000000.0000       316.7039        80.9901
ENERGY:      11        60.2970       242.1148       698.1214         6.5591          -5864.6269       125.6749         0.0000         0.0000         0.0000          -4731.8597         0.0000     -4731.8597     -4731.8597         0.0000            314.8133        80.2177   1000000.0000       314.8133        80.2177
ENERGY:      12        47.9699       236.1653       696.9686         7.0813          -5900.4915       111.2570         0.0000         0.0000         0.0000          -4801.0494         0.0000     -4801.0494     -4801.0494         0.0000            307.5154        71.8225   1000000.0000       307.5154        71.8225
ENERGY:      13        91.6315       242.0834       695.9910         7.7677          -5935.3168        97.9983         0.0000         0.0000         0.0000          -4799.8448         0.0000     -4799.8448     -4799.8448         0.0000            297.2739        60.3813   1000000.0000       297.2739        60.3813
